	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YHR142W	CHS7	14.1	12.78	27.86	8.03	5.73	7.94	12.48
YHR143W	DSE2	7.49	11.48	34.36	8.7	4.68	6.46	7.57
YHR143W-A	RPC10	6.84	6.49	11.9	2.69	7.43	6.01	3.15
YHR144C	DCD1	10.16	12.71	27.2	8.26	7.41	4.54	11.92
YHR146W	CRP1	22.5	18.67	108.5	13.73	5.87	9.22	21.85
YHR147C	MRPL6	8.96	10.67	42.57	12.02	4.33	0.23	6.57
YHR148W	IMP3	7.85	6.49	63.63	16.73	17.63	10.85	12.84
YHR149C	SKG6	7.42	10.34	28.45	9.85	10.17	7.33	9.65
YHR150W	PEX28	4.75	8.5	22.04	2.89	6.08	8.17	5.38
YHR151C	YHR151C	5.16	5.95	32.78	6.55	0.23	0.23	5.62
YHR152W	SPO12	6.34	6.64	27.61	10.36	5.36	9.35	18.97
YHR154W	RTT107	12.16	14.17	47.18	17.27	18.96	19.71	14.32
YHR155W	YSP1	6.84	8.3	18.36	6.91	8.16	2.69	3.2
YHR156C	LIN1	5	7.44	11	6.37	4.27	2.11	0.23
YHR158C	KEL1	10.93	11.13	39.29	11.68	10.19	6.24	5.98
YHR161C	YAP1801	13.38	14.32	33.3	8.65	5.01	10.93	13.09
YHR163W	SOL3	35.83	35.43	46.43	22.02	13.91	11.65	18.47
YHR164C	DNA2	6.31	7.33	14.66	9.83	12.46	2.87	2.43
YHR165C	PRP8	7.69	10.74	12.24	5.95	7.64	2.81	2.32
YHR167W	THP2	5.93	6.43	34.99	3.11	4.63	2.81	3.4
YHR169W	DBP8	9.64	9.17	51.23	21.62	18.3	14.56	14.61
YHR170W	NMD3	19.9	20.21	85.75	32.77	32.41	36.47	37
YHR174W	ENO2	41.35	31.38	129.42	42.26	7.46	10.87	49.03
YHR175W	CTR2	15.14	11.88	16.7	13.77	9.55	6.51	7.89
YHR179W	OYE2	45.49	45.62	1054.53	46.72	15.73	21.8	70.19
YHR181W	SVP26	16.85	21.4	42.03	8.43	13.34	10.26	13.36
YHR183W	GND1	40.7	47.34	92.93	35.2	15.06	23.11	45.26
YHR186C	KOG1	11.97	8.87	31.32	14.49	14.13	9.19	11.12
YHR187W	IKI1	8.97	8.42	42.72	15.72	9.09	10.08	9.03
YHR188C	GPI16	24.57	36.46	36.4	11.42	6.34	9.17	20
YHR190W	ERG9	26.18	27.59	170.38	20.74	11.57	23.46	45.86
YHR191C	CTF8	10.56	10.74	20.58	3.74	8.98	5.86	6.58
YHR193C	EGD2	34.24	29.34	22.04	14.4	5.03	7.06	36.01
YHR194W	MDM31	5.7	10.03	28.77	0.85	3.25	7.14	6.52
YHR195W	NVJ1	7.42	8.15	43.29	7.62	2.7	7.61	8.17
YHR196W	UTP9	6.77	10.48	28.97	8.94	11.42	13.51	9.05
YHR197W	RIX1	9.54	12.57	28.31	10.51	29.49	25.79	13.51
YHR198C	FMP22	5.02	8.86	23.94	2.87	2.71	6.96	4.29
YHR199C	FMP34	9.92	14.92	27.05	6.98	10.67	14.69	30.78
YHR200W	RPN10	20.13	19.37	60.45	17.54	26.02	25.27	19.01
YHR201C	PPX1	11.57	14.98	31.41	9.5	9.38	8.18	12.24
YHR204W	MNL1	8.33	8.16	10.7	0.23	0.23	1.91	4.5
YHR205W	SCH9	8.07	9.04	16.03	3.31	7.67	7.42	3.05
YHR206W	SKN7	8.69	8.15	28.34	8.7	10.88	8.87	8.58
YHR207C	SET5	10.18	14.15	69.59	25.92	32.86	35.85	16.76
YHR208W	BAT1	27.66	25.15	89.41	38.92	16.16	23.16	35.69
YHR211W	FLO5	6.02	3.75	13.28	5.75	4.41	0.23	2.19
YHR215W	PHO12	5.09	12.09	35.75	16.98	11.66	6.95	3.62
